iter	Passed	Remaining
0	0	75
1	1	72
2	2	69
3	2	65
4	3	65
5	4	63
6	4	62
7	5	62
8	6	61
9	6	61
10	7	60
11	8	59
12	8	59
13	9	59
14	10	59
15	11	58
16	11	58
17	12	57
18	13	56
19	13	55
20	14	55
21	15	54
22	16	53
23	16	53
24	17	52
25	18	51
26	18	50
27	19	50
28	20	49
29	20	48
30	21	48
31	22	47
32	23	47
33	24	46
34	25	46
35	25	45
36	26	45
37	27	44
38	28	43
39	28	43
40	29	42
41	29	40
42	30	40
43	30	39
44	31	38
45	32	38
46	33	37
47	33	36
48	34	35
49	35	35
50	35	34
51	36	33
52	37	33
53	37	32
54	38	31
55	38	30
56	39	30
57	40	29
58	41	28
59	42	28
60	42	27
61	43	26
62	44	25
63	44	25
64	45	24
65	46	23
66	46	23
67	47	22
68	48	21
69	49	21
70	49	20
71	50	19
72	51	18
73	51	18
74	52	17
75	53	16
76	54	16
77	54	15
78	55	14
79	56	14
80	56	13
81	57	12
82	58	11
83	59	11
84	59	10
85	60	9
86	61	9
87	61	8
88	62	7
89	63	7
90	63	6
91	64	5
92	65	4
93	65	4
94	66	3
95	67	2
96	68	2
97	68	1
98	69	0
99	70	0
